ano,populacao_homens,populacao_mulheres,nascimentos,obitos,saldo_migratorio_interno,saldo_migratorio_internacional,esperanca_vida_homens,esperanca_vida_mulheres,taxa_mortalidade_infantil_homens,taxa_mortalidade_infantil_mulheres,geocodigo_unidade_federativa,taxa_crescimento_geometrico,taxa_bruta_natalidade,taxa_bruta_mortalidade,taxa_liquida_migracao,taxa_fecundidade_total
2011,7834418,8571090,218823,119041,4771,0,"70,7083977580158","78,2319700829132","14,6385653113592","12,4951033260672",33,"0,627607312140421","13,34","7,26","0,29","1,6274"
2012,7884719,8625908,220988,120000,4698,0,"71,1236897360243","78,4985362433699","14,1363641441579","12,0958489144731",33,"0,640754312515046","13,38","7,27","0,28","1,6428"
2013,7935688,8680656,222145,121022,4625,0,"71,5257561122167","78,7599873164552","13,6538198023745","11,7104873630618",33,"0,640296701027765","13,37","7,28","0,28","1,651"
2014,7989111,8737073,231533,122152,4553,0,"71,9166843674958","79,0129767573551","13,190313513324","11,3387091435005",33,"0,661035905371232","13,84","7,3","0,27","1,7215"
2015,8045483,8795655,234820,123326,4480,0,"72,2924831670521","79,2589759251554","12,7452341145272","10,9801972519665",33,"0,687269732295182","13,94","7,32","0,27","1,7492"
2016,8097888,8849850,217232,124413,4407,0,"72,6549766518958","79,4980727624827","12,3179789595896","10,6346286798721",33,"0,632973852479557","12,82","7,34","0,26","1,6242"
2017,8149121,8902344,231580,125689,4335,0,"73,004262270066","79,7303617090573","11,9079547346746","10,3016757946843",33,"0,612040379666001","13,58","7,37","0,25","1,7404"
2018,8203078,8956882,229633,127130,4262,0,"73,3404748683471","79,9559430852807","11,5145781883761","9,98100763051738",33,"0,636279639315451","13,38","7,41","0,25","1,7359"
2019,8255502,9009441,227561,128550,4189,0,"73,6637832226285","80,1749224965437","11,137276778107","9,67229108894517",33,"0,611790470374052","13,18","7,45","0,24","1,7315"
2020,8306271,9059918,225240,130064,4117,0,"73,9743865975996","80,3874102595467","10,7754892363839","9,37519205116054",33,"0,586425336011831","12,97","7,49","0,24","1,7271"
2021,8355190,9108159,222635,131651,4045,0,"74,2725113700968","80,5935208516618","10,4286660606033","9,08937640319067",33,"0,55947796030551","12,75","7,54","0,23","1,7227"
2022,8402060,9154005,219808,133376,3972,0,"74,5584077457401","80,7933723841345","10,0962699300688","8,81451097637783",33,"0,530917637848272","12,52","7,6","0,23","1,7182"
2023,8446747,9197326,216946,135233,3900,0,"74,8323465938565","80,9870860997016","9,77777605415804","8,55026440575102",33,"0,501296845278265","12,3","7,66","0,22","1,7138"
2024,8489194,9238083,214148,137180,3827,0,"75,0946164211928","81,1747858950039","9,47267245558977","8,29630790925323",33,"0,471569121256743","12,08","7,74","0,22","1,7094"
2025,8529367,9276265,211368,139205,3754,0,"75,345520500631","81,3565978679924","9,18046019280128","8,05231599106207",33,"0,442002457568647","11,87","7,82","0,21","1,705"
2026,8567223,9311839,208645,141383,3681,0,"75,5853741671238","81,5326498903596","8,90065352544833","7,81796707244837",33,"0,412397605431814","11,67","7,91","0,21","1,7005"
2027,8602738,9344795,206060,143671,3608,0,"75,8145022893741","81,7030712048803","8,63278002701333","7,5929440537645",33,"0,382967518094635","11,48","8,01","0,2","1,6961"
2028,8635898,9375148,203566,146073,3536,0,"76,0332369224623","81,8679920474165","8,37638064845528","7,37693481125643",33,"0,3538815056086","11,3","8,11","0,2","1,6917"
2029,8666702,9402913,201238,148593,3463,0,"76,2419151436569","82,0275432932198","8,13100973675415","7,16963263244206",33,"0,325183778887683","11,14","8,22","0,19","1,6872"
2030,8695184,9428109,199066,151209,3391,0,"76,4408770710641","82,181856127065","7,89623501210115","6,97073659381301",33,"0,297062222963795","10,98","8,34","0,19","1,6828"
2031,8721327,9450741,196791,153880,3391,0,"76,6304640625492","82,3310617366542","7,67163750737038","6,77995188459532",33,"0,269128794640139","10,83","8,47","0,19","1,6784"
2032,8745073,9470791,194580,156681,3391,0,"76,811017090507","82,4752910286622","7,45681147336971","6,59699008024985",33,"0,241007242543878","10,68","8,6","0,19","1,674"
2033,8766434,9488269,192568,159571,3391,0,"76,9828752865258","82,6146743667193","7,25136425322778","6,42156936932008",33,"0,213215250179744","10,55","8,74","0,19","1,6695"
2034,8785446,9503208,190652,162529,3391,0,"77,1463746487837","82,7493413305813","7,05491612911608","6,25341473713374",33,"0,185984948645834","10,42","8,89","0,19","1,6651"
2035,8802132,9515630,188883,165572,3391,0,"77,3018469040815","82,8794204956927","6,86710014434627","6,09225810975217",33,"0,159158787738023","10,31","9,04","0,19","1,6607"
2036,8816490,9525531,187092,168669,3391,0,"77,4496185157448","83,0050392323102","6,68756190371754","5,93783846143317",33,"0,132434300653106","10,2","9,2","0,18","1,6562"
2037,8828504,9532892,185374,171829,3391,0,"77,5900098281841","83,1263235233368","6,51595935481983","5,78990188873341",33,"0,105631762170599","10,1","9,36","0,18","1,6518"
2038,8838196,9537735,183769,175025,3391,0,"77,723334338648","83,243397799995","6,35196255283239","5,64820165423195",33,"0,07916064769804",10,"9,52","0,18","1,6474"
2039,8845593,9540096,182205,178215,3391,0,"77,8498980866264","83,3563847944605","6,19525341119007","5,51249820270587",33,"0,0531020713998132","9,91","9,69","0,18","1,643"
2040,8850750,9540026,180794,181394,3391,0,"77,9699991514228","83,4654054085753","6,0455254403239","5,38255915243366",33,"0,0276682587201371","9,83","9,86","0,18","1,6385"
2041,8853747,9537611,179513,184531,3391,0,"78,0839272485919","83,5705785977619","5,90248347652337","5,2581592641495",33,"0,00316462992100419","9,76","10,03","0,18","1,6341"
2042,8854647,9532939,178359,187667,3391,0,"78,1900777999369","83,6720212692685","5,76584340280994","5,13908039001605",33,"-0,020509632839516","9,7","10,21","0,18","1,6297"
2043,8853506,9526067,177252,190752,3391,0,"78,2925705425518","83,769848193891","5,63533186356055","5,02511140483129",33,"-0,0435783141952362","9,64","10,38","0,18","1,6253"
2044,8850351,9517018,176113,193804,3391,0,"78,3897049084625","83,8641719303289","5,51068597447498","4,9160481215372",33,"-0,0663998015623113","9,59","10,55","0,18","1,6208"
2045,8845210,9505837,175032,196768,3391,0,"78,4817346285506","83,9551027613588","5,39165302934029","4,81169319295066",33,"-0,0888641154865422","9,54","10,72","0,18","1,6164"
2046,8838138,9492601,174008,199670,3391,0,"78,5689042566741","84,0427486410285","5,27799020491476","4,71185600149849",33,"-0,110663985548076","9,49","10,89","0,18","1,612"
2047,8829174,9477353,172980,202523,3391,0,"78,6514491822424","84,1253712421433","5,16946426512701","4,61635253860251",33,"-0,132084145652833","9,45","11,06","0,19","1,6075"
2048,8818332,9460121,171904,205291,3391,0,"78,7295956872227","84,2068407323976","5,06585126566709","4,52500527523006",33,"-0,153355139399192","9,4","11,23","0,19","1,6031"
2049,8805598,9440928,170701,207950,3391,0,"78,8035610416679","84,2853319438886","4,96693625993586","4,43764302500368",33,"-0,174670143036726","9,36","11,4","0,19","1,5987"
2050,8790956,9419780,169384,210499,3391,0,"78,8735536323479","84,3609431761019","4,87251300721265","4,35410080114471",33,"-0,196146926817742","9,3","11,56","0,19","1,5943"
2051,8774431,9396716,168117,212964,3391,0,"78,9397731195425","84,4337702913843","4,78238368380463","4,27421966841489",33,"-0,217393739605032","9,25","11,72","0,19","1,5898"
2052,8756060,9371793,166777,215301,3391,0,"79,0024106175027","84,5039067107011","4,69635859784948","4,19784659111575",33,"-0,238256836511197","9,2","11,88","0,19","1,5854"
2053,8735820,9345017,165271,217562,3391,0,"79,0616488945246","84,5714434158932","4,61425590835893","4,12483427810639",33,"-0,259357795983894","9,14","12,03","0,19","1,581"
2054,8713673,9316366,163649,219737,3391,0,"79,1176625889791","84,6364689578429","4,53590134901168","4,05504102570855",33,"-0,280949383040174","9,08","12,19","0,19","1,5766"
2055,8689586,9285842,161900,221816,3391,0,"79,1706184380267","84,6990694699914","4,46112795713337","3,988330559281",33,"-0,30288897322962","9,01","12,34","0,19","1,5721"
2056,8663602,9253490,160237,223774,3391,0,"79,2206755160942","84,7593286866863","4,38977580823342","3,92457187416549",33,"-0,324531911006509","8,94","12,49","0,19","1,5677"
2057,8635781,9219380,158558,225665,3391,0,"79,2679854805271","84,817327965866","4,32169175640954","3,8636390766321",33,"-0,345653189702888","8,88","12,64","0,19","1,5633"
2058,8606114,9183521,156753,227480,3391,0,"79,3126928221221","84,8731463156225","4,25672918087324","3,80541122538123",33,"-0,366986329610808","8,81","12,79","0,19","1,5589"
2059,8574602,9145912,154929,229224,3391,0,"79,3549351185346","84,9268604242125","4,19474773880096","3,74977217409747",33,"-0,38854647664216","8,74","12,94","0,19","1,5544"
2060,8541262,9106580,153085,230916,3391,0,"79,3948432888002","84,9785446931145","4,13561312466858","3,69661041549024",33,"-0,410100971111782","8,67","13,08","0,19","1,55"
